Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Баранець,Омелян,Миколайович,Чоловік,1984-06-18,Менеджер,місто Чернівці,"площа Деревообробний 3-й, буд. 3 кв. 548, Багачеве, 76006",542 49 44,kostiantynbakumenko@example.net
Ільєнко,Леонтій,Павлович,Чоловік,1961-12-22,Літературознавець,селище Нова Одеса,"вулиця Куяльницький міст, буд. 2 кв. 049, Сорокине, 13014",133 04 46,kadeniuksolomiia@example.com
Ткач,Костянтин,Григорович,Чоловік,1985-05-06,Письменник,село Жмеринка,"узвіз Мукачівський, буд. 68, Підгородне, 05382",+380 75 457 64 68,tetianavasylashko@example.com
Харченко,Захар,Володимирович,Чоловік,1985-02-01,Головний меркшейдер,селище Буськ,"узвіз Квітки-Основ’яненка, буд. 19 кв. 3, Андрушівка, 81612",+380 81 136-40-67,tymofiiiukhymenko@example.com
Яременко,Азар,Богданович,Чоловік,1970-03-22,Науковець,місто Харків,"парк Архітектурна, буд. 5, Енергодар, 37729",081 61 61,stanislav16@example.com
Ященко,Охрім,Арсенійович,Чоловік,1964-04-13,Машиніст,селище Енергодар,"набережна Волова, буд. 09, Старий Самбір, 69756",800-36-53,priska73@example.org
Жученко,Феофан,Андрійович,Чоловік,1966-09-26,Астроном,село Заставна,"узвіз Флотський 3-й, буд. 097 кв. 050, Сокологірськ, 88395",062 413 00 90,dlaba@example.net
Лагода,Гліб,Сергійович,Чоловік,1990-01-03,Сантехнік,місто Добромиль,"площа Бейтельсбахера, буд. 4, Ланівці, 50095",+380 (88) 364-99-78,romanetspriska@example.net
Ярема,Кирило,Григорович,Чоловік,1948-06-16,Лікар,хутір Хмільник,"шосе Академіка Богатського, буд. 109, Радехів, 71063",066 209-60-87,baranrozaliia@example.org
Шаповал,Франц,Володимирович,Чоловік,1939-07-30,Медик,селище Ананьїв,"парк Чорноморський, буд. 12, Чоп, 71758",019 800-95-07,mykhailo35@example.com
Демʼяненко,Дмитро,Юрійович,Чоловік,1976-09-18,Бібліограф,село Бобровиця,"проспект Регенсбург, буд. 6 кв. 45, Костопіль, 05490",+380 61 377 67 00,ysirchenko@example.net
Мамчур,Мирослав,Володимирович,Чоловік,1976-08-27,Нотаріус,селище Чугуїв,"набережна Майстерний, буд. 930 кв. 47, Суми, 04066",+380 69 164-09-68,ustymdashenko@example.org
Бандурка,Олександр,Степанович,Чоловік,1990-08-08,Маркетолог,село Вашківці,"вулиця Центральний аеропорт, буд. 61, Чернігів, 23734",+380 56 867-25-59,vonyshchenko@example.net
Батюк,Охрім,Юрійович,Чоловік,2001-02-16,Правник,селище Шостка,"набережна Журавлина, буд. 4, Новоазовськ, 88084",038 557 78 31,iaremkoleonid@example.net
Ільченко,Амвросій,Тимофійович,Чоловік,1961-03-29,Прокурор,місто Носівка,"вулиця Петра Болбочана, буд. 0, Шаргород, 17503",+380 14 375-24-97,davyd40@example.net
Козак,Антон,Олексійович,Чоловік,1944-02-17,Вчитель,селище Калинівка,"узвіз Пересипська 3-тя, буд. 6, Бобровиця, 34964",+380 96 819-39-94,rshvachko@example.org
Макогон,Василь,Степанович,Чоловік,2004-06-02,Водій,селище Балта,"проспект Квантовий, буд. 20 кв. 887, Городок, 13156",+380 47 120-88-84,sementsisyk@example.org
Засядько,Герман,Євгенович,Чоловік,1996-08-18,Літературознавець,селище Бориспіль,"проспект Газовий, буд. 27 кв. 096, Щолкіне, 21754",+380 (59) 831-03-33,somkorozaliia@example.org
Яремків,Аркадій,Павлович,Чоловік,1967-11-07,Детектив,місто Новодружеськ,"проспект Ярморочна площа, буд. 663, Докучаєвськ, 19309",662 92 35,semenpylypenko@example.net
Олійник,Олекса,Андрійович,Чоловік,1967-09-17,Музикознавець,село Сокиряни,"вулиця Квітки-Основ’яненка, буд. 714, Радивилів, 18232",+380 39 105-15-71,rozaliialytvyn@example.org
Єрченко,Ярема,Петрович,Чоловік,1946-06-06,Географ,селище Прилуки,"парк 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 755 кв. 77, Керч, 70028",+380 60 445-88-49,mamchuravhustyn@example.com
Удовиченко,Азар,Максимович,Чоловік,1941-03-08,Дизайнер,хутір Оріхів,"площа Слов'янська, буд. 348, Борислав, 33110",+380 73 813-60-67,verkhovynetsanastasiia@example.net
Ляшко,Макар,Андрійович,Чоловік,2001-11-10,Кінолог,селище Біляївка,"сквер Івана Луценка, буд. 868, Бердянськ, 94810",163-54-06,snizhana75@example.net
Макогон,Валерій,Тимофійович,Чоловік,1969-02-08,Фізик,село Василівка,"узвіз Зелена балка, буд. 102, Городня, 30664",079 041-65-31,ivanchenkopriska@example.net
Андрощук,Валерій,Іванович,Чоловік,1947-03-08,Науковець,село Герца,"площа Миколи Бажана, буд. 3, Корсунь-Шевченківський, 52983",+380 84 218 23 52,eduard87@example.com
Червоненко,Ростислав,Богданович,Чоловік,1978-07-16,Менеджер,село Світловодськ,"вулиця Василя Кричевського, буд. 9 кв. 4, Копичинці, 33704",+380 33 553-82-81,spas99@example.org
Євдокименко,Хома,Арсенійович,Чоловік,1956-02-03,Зоолог,хутір Дергачі,"площа Бахчева, буд. 05, Святогірськ, 48476",898 64 11,tereza94@example.net
Стець,Михайло,Олександрович,Чоловік,1940-02-14,Швачка,місто Українськ,"набережна Шебелінський, буд. 2, Переяслав, 74829",+380 (24) 888-86-71,tsiupanataliia@example.com
Алексійчук,Алевтин,Олександрович,Чоловік,1942-02-21,Мікробіолог,хутір Українка,"сквер Різницький, буд. 8, Кам'янець-Подільський, 74935",+380 42 892-72-66,ielysavetabaranyk@example.net
Сіробаба,Леон,Євгенович,Чоловік,1998-08-27,Електрослюсар,селище Тальне,"узвіз Сотника Лугіна, буд. 2 кв. 49, Білогірськ, 78180",+380 (44) 584-03-97,vbatih@example.net
Шиян,Вадим,Олексійович,Чоловік,1951-02-25,Кухар,село Вижниця,"сквер Середньофонтанська, буд. 8 кв. 0, Отаманівка, 77134",020 832 86 57,semenchenkoavrelii@example.org
Яремко,Франц,Олексійович,Чоловік,1991-03-14,Педагог,селище Люботин,"сквер Кінна, буд. 0, Погребище, 04212",+380 81 874-35-53,velychkoprokhir@example.com
Гузій,Максим,Васильович,Чоловік,1943-07-20,Бібліограф,хутір Копичинці,"провулок Біляївська, буд. 37, Мерефа, 37767",085 284-17-36,danzinkevych@example.com
Каденюк,Хома,Олександрович,Чоловік,1943-09-20,Диригент,місто Лохвиця,"шосе Ключовий 1-й, буд. 953, Глобине, 45050",+380 (74) 221-99-22,ikozak@example.org
Вернигора,Варфоломій,Олексійович,Чоловік,1963-09-23,Кінорежисер,хутір Кремінна,"проспект Степова, буд. 568 кв. 31, Рава-Руська, 23652",347 38 08,hiaremenko@example.net
Шовкопляс,Дан,Максимович,Чоловік,1981-02-24,Фармацевт,хутір Бахмач,"провулок Мирна, буд. 363 кв. 84, Феодосія, 24454",+380 25 182-54-88,cvasylevych@example.org
Чаленко,Опанас,Степанович,Чоловік,1971-12-14,Журналіст,село Ірпінь,"узвіз 11-та ст. Великого Фонтану пляж, буд. 82, Глиняни, 17042",083 994 38 27,snizhana76@example.net
Рудик,Валентин,Сергійович,Чоловік,1964-12-30,Дипломат,місто Кам'янське,"проспект Південна дорога, буд. 86 кв. 52, Самбір, 68117",008 216 35 80,oksana90@example.net
Терещенко,Ілля,Юрійович,Чоловік,1998-07-15,Слідчий,селище Вуглегірськ,"вулиця Іподромний, буд. 624, Турка, 83214",+380 51 340-16-64,iustyna29@example.org
Щорс,Олександр,Олександрович,Чоловік,1988-01-24,Мікробіолог,хутір Кадіївка,"вулиця Педагогічний, буд. 485, Коростень, 64244",194 80 63,nataliia37@example.org
Таран,Єлисей,Романович,Чоловік,2002-10-08,Няня,хутір Броди,"провулок Джевецького, буд. 62, Вилкове, 96425",+380 12 038-02-17,drobiazkomarusia@example.org
Нестеренко,Гордій,Арсенійович,Чоловік,2003-07-22,Електрослюсар,місто Оріхів,"площа Топольського, буд. 6, Знам'янка, 96141",714-27-56,syrotenkoveniiamyn@example.org
Сірченко,Назар,Володимирович,Чоловік,1980-01-17,Головний меркшейдер,місто Корюківка,"шосе Івахненка Петра, буд. 31, Антрацит, 14410",265 72 38,anzhelabezditko@example.org
Затула,Веніямин,Арсенійович,Чоловік,1987-08-28,Дерун,село Зміїв,"парк Перший Кришталевий, буд. 3 кв. 106, Березань, 05098",+380 97 668 37 71,borys01@example.net
Бевзенко,Миколай,Андрійович,Чоловік,1939-08-06,Ді-джей,село Покровськ,"провулок Станційна 3-тя, буд. 6 кв. 1, Святогірськ, 07780",037 398-78-17,artiukhtaras@example.net
Верменич,Костянтин,Тимофійович,Чоловік,2002-08-25,Математик,село Пирятин,"провулок Четверта, буд. 898 кв. 4, Богодухів, 24808",065 627-16-49,ihorkhmara@example.org
Лесик,Едуард,Іванович,Чоловік,1981-06-12,Електрослюсар,село Ямпіль,"вулиця Олександра Кутузакія, буд. 972, Донецьк, 24282",+380 (68) 658-78-65,gdanchenko@example.org
Кабалюк,Адам,Степанович,Чоловік,1975-10-24,Водій,хутір Винники,"площа Віри Інбер, буд. 696 кв. 1, Южне, 73956",+380 (23) 753-42-35,derehusvolodymyr@example.org
Гаврилишин,Степан,Степанович,Чоловік,1955-11-21,Медик,село Болехів,"площа Зоопаркова, буд. 67, Мукачево, 11362",430-71-51,iurchuknadiia@example.org
Шиян,Єлисей,Григорович,Чоловік,2007-01-19,Публіцист,село Турка,"узвіз Український 2-й, буд. 7, Сватове, 36098",+380 06 877 46 04,vashchukmilena@example.com
Забашта,Микита,Андрійович,Чоловік,1947-12-18,Лікар,місто Хрустальний,"парк Матроська Слободка , буд. 982 кв. 18, Жовті Води, 95359",+380 58 090 47 73,gtsushko@example.net
Литвиненко,Зорян,Богданович,Чоловік,1972-10-25,Гицель,хутір Решетилівка,"узвіз Лінія 46-та, буд. 864 кв. 6, Олевськ, 02497",764 23 67,stepansamoilenko@example.net
Забара,Тимофій,Тимофійович,Чоловік,1980-02-10,Круп'є,місто Щолкіне,"шосе Дзвінка, буд. 59, Люботин, 41964",000 922 17 80,uverkhola@example.net
Фаренюк,Леопольд,Андрійович,Чоловік,2003-07-07,Няня,селище Соледар,"провулок Лазурний 2-й, буд. 44, Узин, 07933",190-95-99,ielysei53@example.com
Чубай,Левко,Петрович,Чоловік,1951-12-13,Агроном,місто Болград,"шосе Ліверпульський, буд. 822 кв. 62, Буча, 15632",044 976 29 99,tereza16@example.net
Павлик,Юхим,Арсенійович,Чоловік,1945-05-20,Євнух,місто Сквира,"провулок Скліфосовського, буд. 0, Радехів, 11653",+380 23 130 93 25,andrii36@example.com
Ребрик,Августин,Романович,Чоловік,1964-01-03,Геолог,місто Сокиряни,"шосе Селищний, буд. 0, Шахтарськ, 04273",744-91-51,opanasholyk@example.com
Данькевич,Андрій,Олексійович,Чоловік,1979-02-22,Гірничий інженер,село Хорол,"вулиця Юрія Асєєва, буд. 01 кв. 67, Сорокине, 98994",+380 60 458-12-17,vakulenkoalla@example.net
Гавришкевич,Азар,Олексійович,Чоловік,1956-09-16,Педагог,село Болград,"сквер Пересипська 8-ма, буд. 74 кв. 4, Дніпрорудне, 66318",226-27-00,frantszabara@example.org
Юхименко,Олександр,Андрійович,Чоловік,1952-12-02,Ґрунтознавець,хутір Новоград-Волинський,"набережна Мельницька, буд. 602, Красногорівка, 62446",613-35-15,arsen00@example.net
Зубко,Охрім,Дмитрович,Чоловік,1987-03-22,Кур'єр,місто Могилів-Подільський,"площа Астрономічний, буд. 059 кв. 051, Калуш, 59359",956-29-34,mmatiash@example.com
Ґереґа,Михайло,Андрійович,Чоловік,1972-02-19,Бухгалтер,місто Рубіжне,"узвіз Тарутинська, буд. 88 кв. 39, Ірміно, 71301",+380 97 531-76-18,olestokar@example.net
Байрак,Омелян,Олександрович,Чоловік,1960-05-11,Патологоанатом,селище Каховка,"набережна Тупиковий 1-й, буд. 56, Кадіївка, 91682",+380 (61) 820-48-04,lemeshkotetiana@example.net
Стець,Віктор,Степанович,Чоловік,1948-11-30,Продюсер,селище Хрестівка,"узвіз Лиманчик 2-й Лінія 3-тя, буд. 16, Вуглегірськ, 61016",+380 (17) 579-25-72,sirobabaruslan@example.com
Бандура,Єлисей,Степанович,Чоловік,1950-05-15,Реставратор,місто Хутір-Михайлівський,"шосе Кипарисний 1-й, буд. 5, Мерефа, 41688",719 51 40,hodunokdemyd@example.org
Дурдинець,Лукʼян,Романович,Чоловік,2002-09-21,Дизайнер,хутір Бровари,"набережна Ключовий 2-й, буд. 63, Шпола, 01726",045 034-37-19,karpenkobohdanna@example.net
Овчаренко,Федір,Андрійович,Чоловік,1958-09-23,Редактор,хутір Кадіївка,"проспект Пшенична, буд. 95 кв. 909, Заводське, 99279",276 43 76,andriichuknestor@example.org
Андрійович,Гордій,Андрійович,Чоловік,1989-05-13,Актор,село Отаманівка,"сквер Авіаційна, буд. 2, Чернівці, 40485",+380 (71) 005-40-00,fskoryk@example.net
Дерегус,Марко,Іванович,Чоловік,1981-11-23,Стиліст,місто Олександрівськ,"узвіз Моторний 2-й, буд. 63 кв. 4, Мелітополь, 07634",028 089 82 50,ihnatvdovychenko@example.net
Калениченко,Варфоломій,Іванович,Чоловік,2001-02-20,Співак,місто Сокиряни,"сквер Східний 2-й, буд. 828 кв. 8, Хрестівка, 41723",003 299 76 09,lesdeisun@example.com
Усик,Мирослав,Тимофійович,Чоловік,1944-08-29,Музикознавець,місто Борислав,"шосе Костанді 3-й, буд. 4 кв. 8, Прилуки, 75915",023 218 78 36,volodymyraartym@example.com
Яремків,Марко,Петрович,Чоловік,1959-06-11,М'ясник,селище Алупка,"парк Паркова, буд. 9, Звенигородка, 27167",077 932-71-82,davydchuiko@example.org
Аврамчук,Зорян,Юрійович,Чоловік,1999-08-19,Ветеринар,місто Соледар,"вулиця Ветеранів праці, буд. 8, Верхньодніпровськ, 68878",+380 68 422 68 92,bchalenko@example.net
Власюк,Азар,Степанович,Чоловік,1996-02-22,Сценарист,хутір Скалат,"проспект Поштовий, буд. 07 кв. 709, Черкаси, 64843",061-98-86,rozaliia24@example.org
Архимович,Хома,Олександрович,Чоловік,2008-07-13,Психолог,хутір Бердичів,"вулиця Черкаська, буд. 752 кв. 37, Жашків, 99045",056 958-35-70,cherinkoviacheslav@example.net
Габелко,Сергій,Григорович,Чоловік,2005-12-27,Письменник,місто Мостиська,"площа Миргородський, буд. 867, Новогродівка, 37024",034 422 13 29,sviatoslava08@example.com
Артим,Петро,Юрійович,Чоловік,1956-07-15,Актор,хутір Баранівка,"сквер Картамишевська, буд. 7, Липовець, 43446",+380 (56) 784-30-54,irynabashtan@example.net
Масоха,Іван,Іванович,Чоловік,1974-10-17,Нотаріус,місто Дружківка,"площа Деревообробний 5-й, буд. 65 кв. 93, Снятин, 20063",+380 85 366-23-54,makarenkoopanas@example.com
Засуха,Павло,Євгенович,Чоловік,2007-05-30,Паблік рилейшнз,селище Житомир,"площа Овідіопольська дуга, буд. 63, Сіверськ, 21017",+380 78 744 04 14,pylypbashpolchenko@example.com
Даценко,Юстим,Тимофійович,Чоловік,2002-05-26,Будник,селище Березань,"сквер Газова, буд. 10, Горохів, 17823",+380 59 595 18 51,zabaratereza@example.com
Чорновіл,Вадим,Степанович,Чоловік,1963-07-18,Ґрунтознавець,село Герца,"площа Урожайна, буд. 0, Богуслав, 28877",009 127 57 72,bhydenkosymon@example.org
Бевзенко,Петро,Олександрович,Чоловік,1979-06-07,Астроном,хутір Ківерці,"парк Лінія 49-та, буд. 24 кв. 2, Знам'янка, 72429",+380 99 818-44-68,emiliiashynkarenko@example.org
Тесленко,Владислав,Григорович,Чоловік,1985-10-24,Мікробіолог,хутір Нова Одеса,"парк Банний, буд. 791 кв. 42, Кальміуське, 67002",019 756-97-30,anzhelanalyvaiko@example.com
Ященко,Гліб,Степанович,Чоловік,2005-12-26,Ґрунтознавець,село Вовчанськ,"вулиця Поліська, буд. 59, Довжанськ, 47960",313-36-01,javdieienko@example.org
Єсипенко,Петро,Романович,Чоловік,1961-06-15,Композитор,місто Ладижин,"набережна Крижанівський, буд. 64 кв. 71, Дніпрорудне, 37377",086 63 85,vakulenkoleopold@example.net
Яценюк,Мирослав,Петрович,Чоловік,1967-09-17,Складальник,село Радивилів,"сквер Майка Йогансена, буд. 6, Хорол, 04420",+380 53 503 18 87,valentynahuk@example.org
Конопля,Леонід,Євгенович,Чоловік,1945-10-22,Різноробочий,місто Апостолове,"вулиця Дачний 1-й, буд. 41 кв. 604, Саки, 52394",006 608-86-69,dziubamartyn@example.com
Щорс,Герман,Васильович,Чоловік,1948-04-10,Електрослюсар,селище Радомишль,"набережна Книжковий, буд. 92, Покров, 07366",048 785 41 27,nadiia76@example.net
Чередник,Августин,Сергійович,Чоловік,2008-05-16,Бухгалтер,селище Тетіїв,"вулиця Павлова, буд. 6, Мелітополь, 73658",029 492-41-29,venedyktdubenko@example.org
Тригуб,Теодор,Юрійович,Чоловік,1978-08-05,Клавішник,село Підгайці,"набережна Миколи Куліша, буд. 2 кв. 0, Чорнобиль, 07916",986 59 01,baranetstetiana@example.com
Романенко,Дан,Миколайович,Чоловік,1981-07-02,Паблік рилейшнз,село Борислав,"площа Рівності, буд. 6, Севастополь, 85667",+380 21 004-88-00,lesdurdynets@example.net
Пустовіт,Левко,Тимофійович,Чоловік,2002-07-15,Медик,село Моршин,"парк Житомирська, буд. 926 кв. 7, Красноперекопськ, 89846",069 288-66-98,avlasiuk@example.com
Лупій,Максим,Богданович,Чоловік,1965-11-17,Локсмайстер,місто Миколаїв,"набережна Східчастий, буд. 185, Дружківка, 23051",030 604-87-07,oartiukh@example.com
Зінкевич,Богуслав,Євгенович,Чоловік,1967-12-02,Ді-джей,селище Овруч,"шосе Сергія Параджанова, буд. 4, Ужгород, 25069",092 187-68-67,fkharchenko@example.org
Власюк,Олесь,Миколайович,Чоловік,1973-05-18,Петрограф,хутір Тростянець,"площа Кінна, буд. 79, Скадовськ, 33004",030 616 07 46,danylovashchuk@example.net
Цимбал,Іван,Петрович,Чоловік,1941-06-13,Секретар,хутір Білогірськ,"сквер Канатний, буд. 9 кв. 067, Здолбунів, 26336",238-91-67,zorian02@example.org
Луценко,Григорій,Романович,Чоловік,1969-02-05,Ботанік,хутір Умань,"сквер Травневий 5-й, буд. 53, Долина, 85863",213 76 71,khrystyna64@example.org
Кармалюк,Мирослав,Євгенович,Чоловік,1952-01-24,Сантехнік,селище Кам'янець-Подільський,"вулиця Травневий 1-й, буд. 88 кв. 6, Малин, 38288",+380 (33) 088-08-30,vovkiosyp@example.com
Вахній,Спас,Петрович,Чоловік,1988-02-09,Кінорежисер,хутір Носівка,"парк Акордна, буд. 41 кв. 9, Миколаївка, 03755",+380 74 596 18 74,matviienkookseniia@example.net
Засядько,Валерій,Васильович,Чоловік,1977-03-01,Професор,селище Буринь,"сквер Гена Іоганна, буд. 84, Селидове, 01352",+380 56 666-15-22,qvertyporokh@example.org
Вакуленко,Пантелеймон,Дмитрович,Чоловік,2004-03-02,Продюсер,місто Ровеньки,"сквер Валерія Лобановського, буд. 184 кв. 649, Новий Калинів, 92394",+380 39 076 91 64,dandriishyn@example.com
Дробʼязко,Леонтій,Юрійович,Чоловік,1947-08-23,Диригент,село Коростишів,"набережна Самодіяльна, буд. 195 кв. 351, Чортків, 85020",+380 30 147-94-85,sirobabaiustym@example.com
Зінченко,Тимофій,Павлович,Чоловік,1983-01-23,Реставратор,село Вознесенськ,"площа Лінія 41-ша, буд. 984, Сокологірськ, 21329",534-00-35,okozak@example.com
Батюк,Святослав,Олексійович,Чоловік,1955-10-04,Режисер,село Біляївка,"площа Дерибасівська, буд. 330 кв. 54, Макіївка, 29296",039 421-45-71,ohrechanyk@example.com
Зубко,Орхип,Євгенович,Чоловік,1979-06-19,Нотаріус,селище Буськ,"проспект Локомотивний 1-й, буд. 73, Козятин, 57027",+380 (02) 658-00-82,maryna09@example.org
Юрченко,Спас,Арсенійович,Чоловік,1964-04-21,Електротехнік,село Зоринськ,"провулок Восьмого березня 3-й, буд. 679 кв. 4, Біляївка, 76351",+380 (26) 703-69-62,parmen29@example.org
Єщенко,Віталій,Павлович,Чоловік,1988-12-05,Сценарист,селище Севастополь,"вулиця Ганни Ахматової, буд. 0 кв. 257, Нетішин, 68334",+380 68 436-93-82,bohodarbarabash@example.com
Архипенко,Богодар,Євгенович,Чоловік,1943-01-31,Музикознавець,село Жданівка,"площа Данила Крижанівського, буд. 33 кв. 1, Ірпінь, 61418",+380 72 297-34-43,iaryna76@example.com
Ткаченко,Кирило,Степанович,Чоловік,1996-08-26,Дипломат,селище Золочів,"проспект Глиняна, буд. 384, Умань, 06217",113-93-69,viterleontii@example.net
Ярош,Василь,Богданович,Чоловік,1960-04-04,Різноробочий,село Жданівка,"вулиця Локомотивний 2-й, буд. 918 кв. 8, Ходорів, 94068",035 607-08-35,anitababiichuk@example.net
Вернигора,Мартин,Петрович,Чоловік,1982-01-26,Шериф,місто Заводське,"сквер Балтський 2-й, буд. 405, Хирів, 98770",+380 17 935 04 89,cshmorhun@example.net
Пустовіт,Адам,Григорович,Чоловік,1955-04-05,Юрист,село Путивль,"провулок Ковиловий, буд. 4, Хутір-Михайлівський, 35313",+380 (24) 389-07-26,dzatula@example.org
Девдюк,Ярема,Євгенович,Чоловік,1955-06-29,Складальник,село Верхньодніпровськ,"парк Самодіяльна, буд. 549, Боково-Хрустальне, 45297",+380 16 201-78-48,fedirhrytsenko@example.org
Архимович,Яків,Дмитрович,Чоловік,1989-08-11,Редактор,місто Гірник,"проспект Бузковий, буд. 864 кв. 355, П'ятихатки, 74565",+380 53 759 13 43,danchenkovasyl@example.org
Жайворон,Богодар,Сергійович,Чоловік,1997-01-04,Адвокат,селище Радомишль,"узвіз Університетський, буд. 919, Костянтинівка, 18945",+380 (61) 185-81-52,dstelmakh@example.org
Червоненко,Пармен,Дмитрович,Чоловік,2003-04-20,Драматург,село Білогірськ,"вулиця Солонцюватий 1-й, буд. 66 кв. 3, Бердичів, 12674",+380 55 338-12-30,onufriienkopanas@example.com
Наливайко,Артем,Миколайович,Чоловік,1989-04-11,Фотограф,село Хрустальний,"проспект Лінійний, буд. 787, Євпаторія, 50848",058 056 21 82,sandriishyn@example.com
Шиян,Юстим,Євгенович,Чоловік,1942-07-13,Програміст,село Тиврів,"вулиця Івана Вазова, буд. 1, Нове Давидково, 57945",+380 81 694-33-94,marta09@example.com
Бандера,Петро,Максимович,Чоловік,1956-08-08,Музикознавець,село Самбір,"шосе Джевецького, буд. 8, Бахмач, 93651",+380 70 532-92-30,ytelizhenko@example.net
Царенко,Болеслав,Арсенійович,Чоловік,1965-08-05,Електромонтажник,місто Херсон,"провулок Естафетна, буд. 173 кв. 352, Дубровиця, 79364",+380 17 351-32-06,tshynkarenko@example.net
Журавель,Степан,Васильович,Чоловік,1947-07-19,Бібліограф,місто Бровари,"парк Вітчизняна, буд. 3 кв. 7, Долинська, 71932",104-93-84,maksym48@example.org
Єременко,Прохір,Васильович,Чоловік,1988-08-13,Фольклорист,місто Новоазовськ,"набережна Симфонічна, буд. 035, Могилів-Подільський, 13781",+380 66 525-62-57,ielyseivashchenko-zakharchenko@example.org
Дубас,Максим,Дмитрович,Чоловік,1945-04-09,Стропальник,місто Монастирище,"проспект Варненська, буд. 3, Кодима, 54170",+380 (62) 094-15-97,adamishchenko@example.net
Гузій,Дан,Дмитрович,Чоловік,1975-10-04,Клоун,селище Хмельницький,"набережна Північна, буд. 004, Мукачево, 32692",+380 67 801 08 39,olenahuzenko@example.org
Фастенко,Захар,Євгенович,Чоловік,1950-11-28,Електромонтажник,місто Синельникове,"сквер Балківська, буд. 0, Полтава, 10472",315-94-61,fusyk@example.net
Петренко,Борис,Петрович,Чоловік,2002-08-05,Гицель,селище Стрий,"сквер Миколи Костомарова, буд. 30, Тисмениця, 89813",+380 (71) 771-61-50,kmatiash@example.com
Дубина,Антон,Павлович,Чоловік,1980-05-24,Психолог,хутір Бар,"сквер Лінія 28-ма, буд. 51, Дубно, 29110",+380 49 737-26-46,telizhenkokostiantyn@example.com
Бабʼяк,Валентин,Олексійович,Чоловік,1988-07-04,Зоолог,хутір Верхньодніпровськ,"узвіз Пшенична, буд. 113 кв. 1, Гайсин, 19306",+380 15 981 71 74,milenashtepa@example.net
Власенко,Амвросій,Андрійович,Чоловік,1990-03-26,Співак,селище Богуслав,"сквер Тираспольська, буд. 7, Прип'ять, 26776",060 155-85-61,fesenkoteodor@example.com
Забарний,Устим,Васильович,Чоловік,1962-04-23,Водій,селище Липовець,"проспект Лазурний 3-й, буд. 99 кв. 81, Мукачево, 97796",+380 17 505 43 14,konoplenkoivan@example.org
Бабиченко,Франц,Андрійович,Чоловік,1949-01-27,Фотограф,місто Хотин,"набережна Шполянська, буд. 745 кв. 598, Сквира, 37081",431 28 78,bashpolchenkofeofan@example.com
Венгринович,Венедикт,Васильович,Чоловік,1944-01-30,Агроном,хутір Білозерське,"вулиця Вапняний 3-й, буд. 33, Алмазна, 93590",022 517 18 12,ievdokymenkopylyp@example.org
Данилюк,Зорян,Степанович,Чоловік,1945-05-02,Водій,село Чортків,"набережна Скляний 2-й, буд. 517 кв. 01, Острог, 36721",+380 24 811 15 74,oleksandrstets@example.net
Конопля,Владислав,Володимирович,Чоловік,1964-10-10,Художник,село Житомир,"сквер Отамана Чепіги, буд. 8, Слов'янськ, 76545",+380 48 561 25 65,iaroslavmatiash@example.com
Ґалаґан,Єлисей,Андрійович,Чоловік,1971-10-27,Мікробіолог,хутір Нове Давидково,"сквер Балтський 3-й, буд. 089, Мерефа, 98680",+380 81 727 88 64,ftarasenko@example.org
Гаврилишин,Федір,Сергійович,Чоловік,1963-04-06,Золотар,хутір Кодима,"вулиця П'ята, буд. 6 кв. 2, Судак, 32494",232-41-68,petro08@example.com
Дерегус,Владислав,Олександрович,Чоловік,2007-08-28,Каскадер,хутір Могилів-Подільський,"набережна Лінія 48-ма, буд. 841 кв. 4, Вижниця, 62905",064 359-41-43,shtokaloarkadii@example.org
Аверченко,Михайло,Петрович,Чоловік,1982-04-23,Інженер,хутір Ковель,"провулок Волокидіна, буд. 84 кв. 9, Ічня, 83951",036 223-33-29,ozarudnyi@example.com
Бабко,Богдан,Петрович,Чоловік,1989-05-09,Промисловець,селище Боярка,"шосе Соляний 6-й, буд. 6 кв. 66, Липовець, 26135",+380 31 587-94-66,nonyshchenko@example.org
Редько,Симон,Олександрович,Чоловік,2003-04-26,Візажист,село Часів Яр,"вулиця Докова, буд. 07, Гуляйполе, 96023",+380 87 841 74 78,korolenkoodarka@example.net
Карась,Вʼячеслав,Арсенійович,Чоловік,2008-02-26,Професор,місто Горішні Плавні,"сквер Сєрогодського, буд. 962, Лозова, 77051",+380 (69) 129-12-51,adamchukmilena@example.net
Пустовіт,Нестор,Іванович,Чоловік,1972-02-16,Інженер,місто Хотин,"сквер Чорноморський 13-й, буд. 6, Березань, 12667",+380 97 179-22-64,pavlokadeniuk@example.net
Демʼянюк,Варфоломій,Васильович,Чоловік,1969-03-25,Мистецтвознавець,селище Гайсин,"провулок 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 1, Докучаєвськ, 03715",+380 (98) 346-82-67,iustymhohol@example.com
Бабійчук,Климент,Дмитрович,Чоловік,1943-02-03,Піаніст,селище Новий Калинів,"провулок Цегляна, буд. 4, Шептицький, 52944",232 50 62,nosachenkoliza@example.org
Голик,Богуслав,Сергійович,Чоловік,1975-01-09,Публіцист,селище Кам'янське,"провулок Дзвінка, буд. 004, Харцизьк, 23120",+380 (65) 446-05-36,ekorbut@example.net
